"HealthDistrict","establishmentName","permitName","permitNumber","program","PermitType","status","RiskCategory","catering","commissary","smokingStatus","wasteWaterGrease","inspectionFrequency","ApplicationDate","OriginalIssueDate","PermitIssueDate","ExpirationDate","FacilityAddress","city","zip","FIPSCode","LocalityName"
"EHD - Rappahannock","NULL","A-La-Carte by Weddings by Ginny","JCRS-5W9Q8L","Food Establishment","Restaurant/Caterer","Surrendered","1","","NULL","","","NULL","2/12/2004","6/18/2004","6/18/2004","6/30/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","NULL","Chiyoshi","AJOS-ARKQPG","Food Establishment","Carry Out Food Service Only","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","","9/22/2017","3/29/2018","4/1/2019","3/31/2022","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","Monroe Bay Landing","JKAZ-59KLBD","Food Establishment","Restaurant","Surrendered","4","","NULL","Restricted","","NULL","1/3/1994","2/10/1995","2/13/2003","2/28/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Narrows High School-girls Basketball","ACOS-5NUP2H","Food Establishment","Temporary restaurant","Surrendered","","","NULL","","","NULL","6/25/2003","6/25/2003","7/4/2003","7/4/2003","NULL","NULL","NULL","NULL","NULL"
"EHD - Virginia Beach","NULL","No. One Chinese Restaurant","JLLD-5CLR4E","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","7/1/2003","7/8/2003","7/1/2008","7/31/2009","NULL","NULL","NULL","NULL","NULL"
"EHD - Rappahannock","NULL","A-La-Carte by Weddings by Ginny","JCRS-5W9Q8L","Food Establishment","Restaurant/Caterer","Surrendered","1","","NULL","","","NULL","2/12/2004","6/18/2004","6/18/2004","6/30/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Busy B's Daycare","CMOS-6KJLLC","Food Establishment","Child Care Center","Surrendered","1","","NULL","Non-Smoking","","NULL","8/26/2004","1/18/2005","1/18/2005","1/18/2006","NULL","NULL","NULL","NULL","NULL"
"EHD - Fairfax","NULL","Dunkin Donuts","GNAN-5Y7SA9","Food Establishment","Restaurant","Surrendered","3","","NULL","","","NULL","4/19/2004","6/21/2004","7/20/2004","12/31/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - Norfolk","NULL","Seven Eleven #38164A","THAS-AMWS7P","Food Establishment","Convenience Store","Withdrawn","","","NULL","Smoke Free","","NULL","5/24/2017","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Virginia Beach","NULL","Ocean 17","JLLD-6ASRLY","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Restricted","","NULL","4/19/2006","4/19/2006","4/1/2006","4/30/2007","NULL","NULL","NULL","NULL","NULL"
